Symbol,Date,High,Low,Open,Close,Volume,Adj Close,Return,EqW VaR,ExpW_mc VaR
BTC,2022-03-16,41465.453125,39022.34765625,39335.5703125,41143.9296875,39616916192.0,41143.9296875,0.04588714481344902,-0.06255641898138342,-0.061950226639604214
BTC,2022-03-15,39794.62890625,38310.2109375,39664.25,39338.78515625,23934000868.0,39338.78515625,-0.008268101563720931,-0.06255641898138342,-0.06205672855615394
BTC,2022-03-14,39742.5,37680.734375,37846.31640625,39666.75390625,24322159070.0,39666.75390625,0.0480080837903738,-0.06255641898138342,-0.06216110043437268
BTC,2022-03-13,39209.3515625,37728.14453125,38884.7265625,37849.6640625,17300745310.0,37849.6640625,-0.027101257933814904,-0.06255641898138342,-0.062263384875027035
BTC,2022-03-12,39308.59765625,38772.53515625,38794.46484375,38904.01171875,14616450657.0,38904.01171875,0.002810649293818468,-0.06255641898138342,-0.06236362362686831
BTC,2022-03-11,40081.6796875,38347.43359375,39439.96875,38794.97265625,26364890465.0,38794.97265625,-0.016291319622939393,-0.06255641898138342,-0.06246185760367275
BTC,2022-03-10,42004.7265625,38832.94140625,41974.0703125,39437.4609375,31078064711.0,39437.4609375,-0.060630954045771346,-0.06255641898138342,-0.06265607227340383
BTC,2022-03-09,42465.671875,38706.09375,38742.81640625,41982.92578125,32284121034.0,41982.92578125,0.08378639716414904,-0.06255641898138342,-0.06500210388575071
BTC,2022-03-08,39304.44140625,37957.38671875,38059.90234375,38737.26953125,25776583476.0,38737.26953125,0.017740259990833174,-0.06255641898138342,-0.06536927505872031
BTC,2022-03-07,39430.2265625,37260.203125,38429.3046875,38062.0390625,28546143503.0,38062.0390625,-0.009316643885282638,-0.06255641898138342,-0.06712615576846166
BTC,2022-03-06,39640.17578125,38211.6484375,39404.19921875,38419.984375,19745229902.0,38419.984375,-0.024887994408395286,-0.06255641898138342,-0.06726389518027777
BTC,2022-03-05,39566.3359375,38777.03515625,39148.44921875,39400.5859375,16975917450.0,39400.5859375,0.00671938064683042,-0.06255641898138342,-0.06739887980385756
BTC,2022-03-04,42479.61328125,38805.84765625,42458.140625,39137.60546875,28516271427.0,39137.60546875,-0.07806935036049167,-0.06255641898138342,-0.06753116473496576
BTC,2022-03-03,44021.578125,41914.75,43925.1953125,42451.7890625,24967782593.0,42451.7890625,-0.03351981142193561,-0.060273589716701305,-0.05610190377676238
BTC,2022-03-02,45077.578125,43432.8515625,44357.6171875,43924.1171875,29183112630.0,43924.1171875,-0.009706302725009275,-0.060273589716701305,-0.05627908788342729
BTC,2022-03-01,44793.6015625,42952.5859375,43194.50390625,44354.63671875,32479047645.0,44354.63671875,0.026888524570001016,-0.060273589716701305,-0.05645272830795889
BTC,2022-02-28,43760.45703125,37518.21484375,37706.0,43193.234375,35690014104.0,43193.234375,0.1454118392886461,-0.060273589716701305,-0.05662289592399987
BTC,2022-02-27,39778.94140625,37268.9765625,39098.69921875,37709.78515625,23450127612.0,37709.78515625,-0.03568234201898368,-0.060273589716701305,-0.05679587619843344
BTC,2022-02-26,40005.34765625,38702.53515625,39213.08203125,39105.1484375,17467554129.0,39105.1484375,-0.002781397053842838,-0.060273589716701305,-0.05698481670098387
BTC,2022-02-25,39630.32421875,38111.34375,38333.74609375,39214.21875,26545599159.0,39214.21875,0.022998939789759643,-0.060273589716701305,-0.0571699783934833
BTC,2022-02-24,38968.83984375,34459.21875,37278.56640625,38332.609375,46383802093.0,38332.609375,0.027778400368163814,-0.060273589716701305,-0.05752367392012679
BTC,2022-02-23,39122.39453125,37201.81640625,38285.28125,37296.5703125,21849073843.0,37296.5703125,-0.025843815613622922,-0.060273589716701305,-0.05789797869847478
BTC,2022-02-22,38359.85546875,36488.93359375,37068.76953125,38286.02734375,25493150450.0,38286.02734375,0.03265642371222732,-0.060273589716701305,-0.060260967515818546
BTC,2022-02-21,39394.4375,36950.4765625,38423.2109375,37075.28125,29280402798.0,37075.28125,-0.03528620868790788,-0.060273589716701305,-0.060263118845055565
BTC,2022-02-20,40119.890625,38112.8125,40118.1015625,38431.37890625,18340576452.0,38431.37890625,-0.04214073972532317,-0.060273589716701305,-0.060265227147707844
BTC,2022-02-19,40418.87890625,39713.05859375,40026.0234375,40122.15625,13736557863.0,40122.15625,0.0022777282826873524,-0.060273589716701305,-0.06026729328430708
BTC,2022-02-18,40929.15234375,39637.6171875,40552.1328125,40030.9765625,23310007704.0,40030.9765625,-0.012507647384577658,-0.060273589716701305,-0.060269318098174325
BTC,2022-02-17,44132.97265625,40249.37109375,43937.0703125,40538.01171875,26246662813.0,40538.01171875,-0.07788223029977337,-0.060273589716701305,-0.060271302415764234
BTC,2022-02-16,44578.27734375,43456.69140625,44578.27734375,43961.859375,19792547657.0,43961.859375,-0.013759752216496501,-0.06025942562091624,-0.0535797266404875
BTC,2022-02-15,44667.21875,42491.03515625,42586.46484375,44575.203125,22721659051.0,44575.203125,0.04668769779745485,-0.06025942562091624,-0.05441137121967623
BTC,2022-02-14,42775.77734375,41681.95703125,42157.3984375,42586.91796875,20827783012.0,42586.91796875,0.009228086961576842,-0.06025942562091624,-0.05522638290728114
BTC,2022-02-13,42693.0546875,41950.94140625,42236.56640625,42197.515625,14741589015.0,42197.515625,-0.001111462077505676,-0.06025942562091624,-0.05602509436113397
BTC,2022-02-12,42992.55078125,41852.57421875,42412.30078125,42244.46875,18152390304.0,42244.46875,-0.0038546734323026133,-0.06025942562091624,-0.056200646709276554
BTC,2022-02-11,43810.83203125,42114.5390625,43571.12890625,42407.9375,26954925781.0,42407.9375,-0.026561982607033352,-0.06025942562091624,-0.056321350303233486
BTC,2022-02-10,45661.171875,43402.80859375,44347.80078125,43565.11328125,32142048537.0,43565.11328125,-0.01744935921313273,-0.06025942562091624,-0.056439639825311284
BTC,2022-02-09,44727.80078125,43232.96875,44096.703125,44338.796875,23245887300.0,44338.796875,0.004994545046617338,-0.06025942562091624,-0.05655556355694752
BTC,2022-02-08,45293.8671875,42807.8359375,43854.65234375,44118.4453125,33079398868.0,44118.4453125,0.0063448528050995545,-0.06025942562091624,-0.05666916881395104
BTC,2022-02-07,44401.86328125,41748.15625,42406.78125,43840.28515625,28641855926.0,43840.28515625,0.033665872045371525,-0.06025942562091624,-0.056785288363486675
BTC,2022-02-06,42500.78515625,41244.90625,41441.12109375,42412.43359375,16142097334.0,42412.43359375,0.023437312952531153,-0.06025942562091624,-0.05691142654917676
BTC,2022-02-05,41847.1640625,41038.09765625,41501.48046875,41441.1640625,19652846215.0,41441.1640625,-0.001438787435204647,-0.06025942562091624,-0.05703504197115304
BTC,2022-02-04,41527.78515625,37093.62890625,37149.265625,41500.875,29412210792.0,41500.875,0.116978066100073,-0.06025942562091624,-0.057156185084689795
BTC,2022-02-03,37154.6015625,36375.5390625,36944.8046875,37154.6015625,18591534769.0,37154.6015625,0.005456046132945147,-0.06025942562091624,-0.05736258621470114
BTC,2022-02-02,38834.6171875,36832.73046875,38743.71484375,36952.984375,19155189416.0,36952.984375,-0.046209029430310355,-0.06025942562091624,-0.057607477291514456
BTC,2022-02-01,39115.1328125,38113.6640625,38481.765625,38743.2734375,20288500328.0,38743.2734375,0.00676006528835682,-0.06025942562091624,-0.057847470546791506
BTC,2022-01-31,38647.26171875,36733.57421875,37920.28125,38483.125,20734730465.0,38483.125,0.01491453610450133,-0.06025942562091624,-0.060259877534493175
BTC,2022-01-30,38266.33984375,37437.7109375,38151.91796875,37917.6015625,14643548444.0,37917.6015625,-0.005783656346668664,-0.06025942562091624,-0.06026125690375756
BTC,2022-01-29,38576.26171875,37406.47265625,37780.71484375,38138.1796875,17194183075.0,38138.1796875,0.00936493083845824,-0.06025942562091624,-0.060262608685636654
BTC,2022-01-28,37952.87890625,36211.109375,37128.4453125,37784.33203125,22238830523.0,37784.33203125,0.017397102127314046,-0.06025942562091624,-0.06026393343187817
BTC,2022-01-27,37148.32421875,35629.28125,36841.87890625,37138.234375,25041426629.0,37138.234375,0.007763821260712289,-0.06025942562091624,-0.06026523168319486
BTC,2022-01-26,38825.41015625,36374.90625,36950.515625,36852.12109375,31324598034.0,36852.12109375,-0.002757016878562668,-0.06025942562091624,-0.060266503969485206
BTC,2022-01-25,37444.5703125,35779.4296875,36654.8046875,36954.00390625,26428189594.0,36954.00390625,0.008175727030871549,-0.06025942562091624,-0.06026775081004975
BTC,2022-01-24,37247.51953125,33184.05859375,36275.734375,36654.328125,41856658597.0,36654.328125,0.010406744495611076,-0.06025942562091624,-0.060268972713803
BTC,2022-01-23,36433.3125,34784.96875,35047.359375,36276.8046875,26017975951.0,36276.8046875,0.03558509252717301,-0.06025942562091624,-0.06027017017948119
BTC,2022-01-22,36688.8125,34349.25,36471.58984375,35030.25,39714385405.0,35030.25,-0.039143484680769114,-0.06025942562091624,-0.06027134369584581
BTC,2022-01-21,41060.52734375,35791.42578125,40699.60546875,36457.31640625,43011992031.0,36457.31640625,-0.10381165615712484,-0.06025942562091624,-0.06027249374188314
BTC,2022-01-20,43413.0234375,40672.82421875,41744.02734375,40680.41796875,20382033940.0,40680.41796875,-0.02548634039729203,-0.059554510882446905,-0.05688199663851364
BTC,2022-01-19,42478.3046875,41242.9140625,42374.0390625,41744.328125,23091543258.0,41744.328125,-0.014897823244158781,-0.059554510882446905,-0.056969679747957025
BTC,2022-01-18,42534.40234375,41392.21484375,42250.07421875,42375.6328125,22417209227.0,42375.6328125,0.0029604828561313745,-0.059554510882446905,-0.057055609195211535
BTC,2022-01-17,43179.390625,41680.3203125,43118.12109375,42250.55078125,21690904261.0,42250.55078125,-0.020024366790964976,-0.059554510882446905,-0.05713982005352096
BTC,2022-01-16,43436.80859375,42691.0234375,43172.0390625,43113.87890625,17902097845.0,43113.87890625,-0.0014711291913973579,-0.059554510882446905,-0.057222346694664195
BTC,2022-01-15,43724.671875,42669.03515625,43101.8984375,43177.3984375,18371348298.0,43177.3984375,0.001802778677309158,-0.06025942562091624,-0.057422332890875435
BTC,2022-01-14,43346.6875,41982.6171875,42598.87109375,43099.69921875,23577403399.0,43099.69921875,0.011930269358978673,-0.06025942562091624,-0.057589160681785906
BTC,2022-01-13,44278.421875,42447.04296875,43946.7421875,42591.5703125,47691135082.0,42591.5703125,-0.030888714484173407,-0.06025942562091624,-0.057752651916878166
BTC,2022-01-12,44135.3671875,42528.98828125,42742.1796875,43949.1015625,33499938689.0,43949.1015625,0.028389418684672707,-0.06025942562091624,-0.05791287332726857
BTC,2022-01-11,43001.15625,41407.75390625,41819.5078125,42735.85546875,26327648900.0,42735.85546875,0.021869109453241498,-0.06025942562091624,-0.06025980109045787
BTC,2022-01-10,42199.484375,39796.5703125,41910.23046875,41821.26171875,32104232331.0,41821.26171875,-0.0021554853640055605,-0.06025942562091624,-0.06026072196837477
BTC,2022-01-09,42663.94921875,41338.16015625,41734.7265625,41911.6015625,21294384372.0,41911.6015625,0.004256970472081845,-0.06025942562091624,-0.06026162442873333
BTC,2022-01-08,42228.94140625,40672.27734375,41561.46484375,41733.94140625,28066355845.0,41733.94140625,0.004235994902819673,-0.06025942562091624,-0.06026250883988472
BTC,2022-01-07,43153.5703125,41077.4453125,43153.5703125,41557.90234375,84196607520.0,41557.90234375,-0.03714070469186992,-0.06025942562091624,-0.060263375562813075
BTC,2022-01-06,43748.71875,42645.5390625,43565.51171875,43160.9296875,30208048289.0,43160.9296875,-0.009366159015892994,-0.06025942562091624,-0.06026422495128287
